StorageDays,PercentLossRA,PercentLossCA
253,0.09427414077926455,0.04478086301986097
254,0.09540318039000113,0.045193256111389746
255,0.0965464398726848,0.0456092252614404
256,0.09770411717862686,0.046028805018275123
257,0.09887641312172213,0.04645203027896763
258,0.1000635314204513,0.04687893629299013
259,0.10126567874050317,0.047309558665837206
260,0.10248306473802632,0.04774393336268745
261,0.10371590210351889,0.048182096712102995
262,0.10496440660636694,0.048624085409767245
263,0.10622879714003976,0.04906993652226167
264,0.10750929576795276,0.04951968749088145
265,0.10880612777000767,0.04997337613549081
266,0.11011952168981964,0.05043104065841833
267,0.1114497093826419,0.05089271964839254
268,0.11279692606399797,0.051358452084518516
269,0.11416141035903232,0.05182827734029542
270,0.1155434043525895,0.05230223518767599
271,0.11694315364003327,0.05278036580116796
272,0.11836090737881563,0.05326270976197796
273,0.11979691834080822,0.053749308062198506
274,0.12125144296540638,0.054240202109038405
275,0.12272474141341744,0.054735433729096936
276,0.12421707762174525,0.05523504517268239
277,0.12572871935888225,0.05573907911817552
278,0.12725993828122142,0.056247578676437926
279,0.12881100999020043,0.056760587395266626
280,0.13038221409028927,0.05727814926389442
281,0.13197383424783532,0.05780030871753711
282,0.13358615825077738,0.05832711064198791
283,0.13521947806924178,0.05885860037825941
284,0.1368740899170348,0.059394823727273824
285,0.1385502943140424,0.05993582695460167
286,0.14024839614955292,0.060481656795249986
287,0.14196870474651505,0.06103236045849976
288,0.1437115339267456,0.06158798563279387
289,0.14547720207710046,0.06214858049067572
290,0.14726603221662424,0.06271419369377881
291,0.1490783520646916,0.06328487439786856
292,0.1509144941101558,0.06386067225793597
293,0.15277479568151964,0.06444163743334447
294,0.1546595990181427,0.06502782059303
295,0.1565692513425022,0.06561927292075505
296,0.15850410493352105,0.06621604612041737
297,0.16046451720098015,0.06681819242141361
298,0.16245085076103075,0.06742576458405868
299,0.16446347351282248,0.06803881590506133
300,0.16650275871626521,0.06865740022305664
